layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
,,,,,,b,637.0,0.2815543987605617
,,,,,,b,638.0,0.3949432965484289
,,,,,,b,639.0,0.4331272178457634
,,,,,,b,640.0,0.3107539018004925
,,,,,,b,641.0,0.3725086344639288
,,,,,,b,642.0,0.4198435237571631
,,,,,,b,643.0,0.4252988632735088
,,,,,,b,644.0,0.4661488672423002
,,,,,,b,645.0,0.3299677901597393
,,,,,,b,646.0,0.3154626902847188
,,,,,,b,647.0,0.3478867602138025
,,,,,,b,648.0,0.3450483078164366
,,,,,,b,649.0,0.3521614101496624
,,,,,,b,650.0,0.3293376639713852
,,,,,,b,651.0,0.3764770040073122
,,,,,,b,652.0,0.4590271310050826
,,,,,,b,653.0,0.366953538499664
,,,,,,b,654.0,0.3279057781794359
