space_id,runtime_stage,disabled,last_modified,last_modified_age_days
Kanharamgurjar/Study_assistant_model,RUNNING,False,2026-08-24T04:16:38.000Z,6.821782407407407
karibubybsf/ai_tutor,RUNTIME_ERROR,False,2025-08-25T10:30:24.000Z,370.5622222222222
karibubybsf/ai_tutor_v2,RUNTIME_ERROR,False,2025-03-10T17:16:44.000Z,538.2800462962963
karibubybsf/ai_tutor_v3,SLEEPING,False,2025-03-12T14:28:08.000Z,536.3971296296296
Karishma-19/AI-Tutor,SLEEPING,False,2026-07-06T06:11:48.000Z,55.74180555555556
KashishM/study_assistant,SLEEPING,False,2026-07-26T16:18:08.000Z,35.32074074074074
KashTheDev123/Accounting-Tutor-AI,RUNTIME_ERROR,False,2026-03-02T18:36:21.000Z,181.22475694444444
kastan/ai-teaching-assistant,RUNTIME_ERROR,False,2023-04-07T17:45:26.000Z,1241.2601157407407
kastan/ai-teaching-assistant-beta,RUNTIME_ERROR,False,2023-03-31T17:18:02.000Z,1248.2791435185186
Kaveri2109/rag-teaching-assistant,RUNTIME_ERROR,False,2026-03-31T04:21:36.000Z,152.81833333333333
Kavya-Thakar/ai-teaching-assistant-v2,RUNTIME_ERROR,False,2026-05-29T12:47:26.000Z,93.46706018518519
kavyasri0821/AI_Converstational_Data_Science_Tutor,SLEEPING,False,2025-03-23T13:32:26.000Z,525.4358101851852
ke955/smm2-course-generator,RUNNING,False,2026-04-16T09:57:33.000Z,136.58503472222222
Keerthana96/bridge_course_generator,SLEEPING,False,2026-02-24T09:14:57.000Z,187.61461805555555
khankashif/education_assistant_chatbot,SLEEPING,False,2025-02-18T11:35:47.000Z,558.5168171296297
Khanmx99/Pak-Angels-AI-Tutor,RUNNING,False,2026-07-11T08:16:31.000Z,50.65519675925926
KhansaAQureshi/AI_Tutor,SLEEPING,False,2025-02-13T19:33:11.000Z,563.1852893518519
kinely/Study-Assistant,BUILD_ERROR,False,2024-11-25T06:37:26.000Z,643.7240046296296
king011/AI-quiz-generator,SLEEPING,False,2025-02-27T09:42:44.000Z,549.595324074074
kodamkarthik281/AI_Conversational_Tutor,SLEEPING,False,2025-05-13T07:38:50.000Z,474.6813657407407
kollalekhan/StudyAssistant,PAUSED,False,2026-08-13T17:16:40.000Z,17.28009259259259
kousarshaik/AI_TUTOR,RUNTIME_ERROR,False,2026-07-03T10:06:05.000Z,58.579108796296296
kr1shnasharma/academic-tutor-ai,SLEEPING,False,2026-07-08T16:12:51.000Z,53.32440972222222
kr1shnasharma/swp1-academic-ai-tutor,RUNTIME_ERROR,False,2026-04-13T17:20:13.000Z,139.27762731481482
krishala/TutorChatbot,SLEEPING,False,2025-12-09T08:05:23.000Z,264.66292824074077
Krishna-108/study-assistant,SLEEPING,False,2026-07-27T16:17:26.000Z,34.321226851851854
krishnachaithanya26/StudyAssistant,SLEEPING,False,2026-02-25T08:50:42.000Z,186.63145833333334
Krishnajha18/StudyAssistant,RUNNING,False,2026-07-31T10:28:12.000Z,30.56375
KSaiManikanta/Ai_Data-Science_Tutor,BUILD_ERROR,False,2025-03-19T05:42:24.000Z,529.7622222222222
KunalGupta1212/Quiz-generator,RUNTIME_ERROR,False,2025-08-16T18:04:12.000Z,379.2470833333333
kunalhugface/Football_Tutor_Chatbot,BUILD_ERROR,False,2026-05-19T13:32:11.000Z,103.4359837962963
kundan857/StudyAssistant,SLEEPING,False,2026-05-08T05:25:17.000Z,114.77410879629629
lekhankolla/StudyAssistant,PAUSED,False,2026-08-13T17:38:34.000Z,17.264884259259258
Lesterchia1/FPOC2_AI-Tutor_Chatbot,SLEEPING,False,2025-11-23T04:37:06.000Z,280.8075694444444
Lipely/FYP-lesson-plan-generator,SLEEPING,False,2026-08-24T16:06:01.000Z,6.329155092592592
louiecerv/problem_solving_ai_tutor,SLEEPING,False,2025-03-10T02:25:16.000Z,538.8991203703704
